REGION,YEAR,Month,Rainfall,Temperature,Month_Num,Time,Rainfall_lag_1,Rainfall_lag_2,Rainfall_lag_3,Rainfall_lag_12,Temperature_lag_1,Temperature_lag_2,Temperature_lag_3,Temperature_lag_12
Central,2023,NOV,0.143,28.496222222222222,11,406,0.6443333333333333,1.0246666666666666,4.905333333333333,0.0,31.913444444444444,31.244333333333337,30.78033333333333,26.136
Central,2023,DEC,0.0,24.36177777777777,12,407,0.143,0.6443333333333333,1.0246666666666666,0.001,28.496222222222222,31.913444444444444,31.244333333333337,23.295222222222225
Central,2024,JAN,0.0,22.590666666666667,1,408,0.0,0.143,0.6443333333333333,0.0,24.36177777777777,28.496222222222222,31.913444444444444,23.44511111111111
Central,2024,FEB,0.0,23.678444444444445,2,409,0.0,0.0,0.143,0.0,22.590666666666667,24.36177777777777,28.496222222222222,24.19877777777777
Central,2024,MAR,0.0046666666666666,28.99833333333333,3,410,0.0,0.0,0.0,0.0,23.678444444444445,22.590666666666667,24.36177777777777,27.713444444444445
Central,2024,APR,0.0,31.361666666666668,4,411,0.0046666666666666,0.0,0.0,0.0126666666666666,28.99833333333333,23.678444444444445,22.590666666666667,30.31
Central,2024,MAY,0.1576666666666666,33.527,5,412,0.0,0.0046666666666666,0.0,0.0673333333333333,31.361666666666668,28.99833333333333,23.678444444444445,33.00988888888889
Central,2024,JUN,0.4523333333333333,35.20977777777778,6,413,0.1576666666666666,0.0,0.0046666666666666,0.957,33.527,31.361666666666668,28.99833333333333,34.02188888888889
Central,2024,JUL,3.530333333333333,32.11855555555556,7,414,0.4523333333333333,0.1576666666666666,0.0,1.0566666666666666,35.20977777777778,33.527,31.361666666666668,33.604
Central,2024,AUG,5.524666666666667,28.27511111111111,8,415,3.530333333333333,0.4523333333333333,0.1576666666666666,4.905333333333333,32.11855555555556,35.20977777777778,33.527,30.78033333333333
Central,2024,SEP,1.632,30.075,9,416,5.524666666666667,3.530333333333333,0.4523333333333333,1.0246666666666666,28.27511111111111,32.11855555555556,35.20977777777778,31.244333333333337
Central,2024,OCT,0.1326666666666666,29.91633333333333,10,417,1.632,5.524666666666667,3.530333333333333,0.6443333333333333,30.075,28.27511111111111,32.11855555555556,31.913444444444444
Central,2024,NOV,0.0689999999999999,25.46633333333333,11,418,0.1326666666666666,1.632,5.524666666666667,0.143,29.91633333333333,30.075,28.27511111111111,28.496222222222222
Central,2024,DEC,0.002,23.529222222222224,12,419,0.0689999999999999,0.1326666666666666,1.632,0.0,25.46633333333333,29.91633333333333,30.075,24.36177777777777
East,1990,JAN,0.0135714285714285,23.17773809523809,1,0,,,,,,,,
East,1990,FEB,0.0007142857142857,22.37095238095238,2,1,0.0135714285714285,,,,23.17773809523809,,,
East,1990,MAR,0.0089285714285714,25.20285714285714,3,2,0.0007142857142857,0.0135714285714285,,,22.37095238095238,23.17773809523809,,
East,1990,APR,0.0010714285714285,29.467738095238094,4,3,0.0089285714285714,0.0007142857142857,0.0135714285714285,,25.20285714285714,22.37095238095238,23.17773809523809,
East,1990,MAY,0.0114285714285714,32.96154761904762,5,4,0.0010714285714285,0.0089285714285714,0.0007142857142857,,29.467738095238094,25.20285714285714,22.37095238095238,
East,1990,JUN,0.0067857142857142,34.45142857142857,6,5,0.0114285714285714,0.0010714285714285,0.0089285714285714,,32.96154761904762,29.467738095238094,25.20285714285714,
East,1990,JUL,0.1999999999999999,33.00976190476191,7,6,0.0067857142857142,0.0114285714285714,0.0010714285714285,,34.45142857142857,32.96154761904762,29.467738095238094,
East,1990,AUG,0.1914285714285714,33.29047619047619,8,7,0.1999999999999999,0.0067857142857142,0.0114285714285714,,33.00976190476191,34.45142857142857,32.96154761904762,
East,1990,SEP,0.2767857142857143,32.482261904761906,9,8,0.1914285714285714,0.1999999999999999,0.0067857142857142,,33.29047619047619,33.00976190476191,34.45142857142857,
East,1990,OCT,0.0739285714285714,30.689642857142854,10,9,0.2767857142857143,0.1914285714285714,0.1999999999999999,,32.482261904761906,33.29047619047619,33.00976190476191,
East,1990,NOV,0.12,27.66642857142857,11,10,0.0739285714285714,0.2767857142857143,0.1914285714285714,,30.689642857142854,32.482261904761906,33.29047619047619,
East,1990,DEC,0.0171428571428571,26.35202380952381,12,11,0.12,0.0739285714285714,0.2767857142857143,,27.66642857142857,30.689642857142854,32.482261904761906,
East,1991,JAN,0.0,23.46583333333333,1,12,0.0171428571428571,0.12,0.0739285714285714,0.0135714285714285,26.35202380952381,27.66642857142857,30.689642857142854,23.17773809523809
East,1991,FEB,0.0164285714285714,24.729880952380952,2,13,0.0,0.0171428571428571,0.12,0.0007142857142857,23.46583333333333,26.35202380952381,27.66642857142857,22.37095238095238
East,1991,MAR,0.0,26.65630952380953,3,14,0.0164285714285714,0.0,0.0171428571428571,0.0089285714285714,24.729880952380952,23.46583333333333,26.35202380952381,25.20285714285714
East,1991,APR,0.0985714285714285,31.73488095238095,4,15,0.0,0.0164285714285714,0.0,0.0010714285714285,26.65630952380953,24.729880952380952,23.46583333333333,29.467738095238094
East,1991,MAY,0.0278571428571428,34.25488095238095,5,16,0.0985714285714285,0.0,0.0164285714285714,0.0114285714285714,31.73488095238095,26.65630952380953,24.729880952380952,32.96154761904762
East,1991,JUN,0.0007142857142857,34.400357142857146,6,17,0.0278571428571428,0.0985714285714285,0.0,0.0067857142857142,34.25488095238095,31.73488095238095,26.65630952380953,34.45142857142857
East,1991,JUL,0.62,33.111666666666665,7,18,0.0007142857142857,0.0278571428571428,0.0985714285714285,0.1999999999999999,34.400357142857146,34.25488095238095,31.73488095238095,33.00976190476191
East,1991,AUG,0.3042857142857142,32.59309523809524,8,19,0.62,0.0007142857142857,0.0278571428571428,0.1914285714285714,33.111666666666665,34.400357142857146,34.25488095238095,33.29047619047619
East,1991,SEP,0.0257142857142857,32.65571428571428,9,20,0.3042857142857142,0.62,0.0007142857142857,0.2767857142857143,32.59309523809524,33.111666666666665,34.400357142857146,32.482261904761906
East,1991,OCT,0.1542857142857143,30.80547619047619,10,21,0.0257142857142857,0.3042857142857142,0.62,0.0739285714285714,32.65571428571428,32.59309523809524,33.111666666666665,30.689642857142854
East,1991,NOV,0.3685714285714286,26.90797619047619,11,22,0.1542857142857143,0.0257142857142857,0.3042857142857142,0.12,30.80547619047619,32.65571428571428,32.59309523809524,27.66642857142857
East,1991,DEC,0.0,23.48809523809524,12,23,0.3685714285714286,0.1542857142857143,0.0257142857142857,0.0171428571428571,26.90797619047619,30.80547619047619,32.65571428571428,26.35202380952381
East,1992,JAN,0.0,21.276785714285715,1,24,0.0,0.3685714285714286,0.1542857142857143,0.0,23.48809523809524,26.90797619047619,30.80547619047619,23.46583333333333
East,1992,FEB,0.0,20.596190476190475,2,25,0.0,0.0,0.3685714285714286,0.0164285714285714,21.276785714285715,23.48809523809524,26.90797619047619,24.729880952380952
East,1992,MAR,0.0003571428571428,26.07988095238096,3,26,0.0,0.0,0.0,0.0,20.596190476190475,21.276785714285715,23.48809523809524,26.65630952380953
East,1992,APR,0.0060714285714285,29.59869047619048,4,27,0.0003571428571428,0.0,0.0,0.0985714285714285,26.07988095238096,20.596190476190475,21.276785714285715,31.73488095238095
East,1992,MAY,0.0124999999999999,31.93845238095238,5,28,0.0060714285714285,0.0003571428571428,0.0,0.0278571428571428,29.59869047619048,26.07988095238096,20.596190476190475,34.25488095238095
East,1992,JUN,0.2189285714285714,33.989999999999995,6,29,0.0124999999999999,0.0060714285714285,0.0003571428571428,0.0007142857142857,31.93845238095238,29.59869047619048,26.07988095238096,34.400357142857146
East,1992,JUL,0.4517857142857143,33.08011904761905,7,30,0.2189285714285714,0.0124999999999999,0.0060714285714285,0.62,33.989999999999995,31.93845238095238,29.59869047619048,33.111666666666665
East,1992,AUG,1.397142857142857,30.82547619047619,8,31,0.4517857142857143,0.2189285714285714,0.0124999999999999,0.3042857142857142,33.08011904761905,33.989999999999995,31.93845238095238,32.59309523809524
