PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,REGION
PRECTOTCORR,1990,15.0,33.125,0.0,0.0,0.0,0.0,0.0,0.02,1.2,0.47,0.63,0.69,0.0,0.0,0.25,Central
PRECTOTCORR,1990,15.0,33.75,0.0,0.0,0.0,0.0,0.0,0.02,1.26,0.69,0.78,0.87,0.0,0.0,0.31,Central
PRECTOTCORR,1990,15.5,31.25,0.0,0.0,0.0,0.0,0.01,0.01,1.17,0.18,0.03,0.04,0.0,0.0,0.12,Central
PRECTOTCORR,1990,15.5,31.875,0.0,0.0,0.0,0.0,0.0,0.02,1.09,0.12,0.1,0.04,0.0,0.0,0.12,Central
PRECTOTCORR,1990,15.5,32.5,0.0,0.0,0.0,0.0,0.0,0.02,0.77,0.1,0.35,0.14,0.0,0.0,0.12,Central
PRECTOTCORR,1990,15.5,33.125,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.15,0.47,0.18,0.0,0.0,0.11,Central
PRECTOTCORR,1990,15.5,33.75,0.0,0.0,0.0,0.0,0.0,0.01,0.62,0.33,0.64,0.33,0.0,0.0,0.16,Central
PRECTOTCORR,1990,16.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.02,0.02,0.02,0.0,0.0,0.04,Central
PRECTOTCORR,1990,16.0,31.875,0.0,0.0,0.0,0.0,0.0,0.01,0.49,0.03,0.05,0.02,0.0,0.0,0.05,Central
PRECTOTCORR,1990,16.0,32.5,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.03,0.15,0.07,0.0,0.0,0.05,Central
PRECTOTCORR,1990,16.0,33.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.24,0.11,0.0,0.0,0.05,Central
PRECTOTCORR,1990,16.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.42,0.18,0.0,0.0,0.08,Central
PRECTOTCORR,1990,16.5,31.25,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.01,0.02,0.02,0.0,0.0,0.02,Central
PRECTOTCORR,1990,16.5,31.875,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.0,0.03,0.02,0.0,0.0,0.02,Central
PRECTOTCORR,1990,16.5,32.5,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.02,0.11,0.06,0.0,0.0,0.03,Central
PRECTOTCORR,1990,16.5,33.125,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.03,0.15,0.08,0.0,0.0,0.03,Central
PRECTOTCORR,1990,16.5,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.19,0.11,0.0,0.0,0.04,Central
PRECTOTCORR,1991,14.0,31.25,0.0,0.0,0.0,0.05,0.34,0.05,0.51,1.53,0.32,0.24,0.0,0.0,0.26,Central
PRECTOTCORR,1991,14.0,31.875,0.0,0.0,0.0,0.04,0.38,0.04,0.54,1.63,0.32,0.29,0.0,0.0,0.27,Central
PRECTOTCORR,1991,14.0,32.5,0.0,0.0,0.0,0.12,0.58,0.08,0.95,2.28,0.4,0.39,0.0,0.0,0.41,Central
PRECTOTCORR,1991,14.0,33.125,0.0,0.0,0.0,0.18,0.75,0.17,1.24,2.72,0.48,0.34,0.0,0.0,0.5,Central
PRECTOTCORR,1991,14.0,33.75,0.0,0.0,0.0,0.23,1.04,0.43,1.8,3.42,0.59,0.28,0.0,0.0,0.66,Central
PRECTOTCORR,1991,14.5,31.25,0.0,0.0,0.0,0.04,0.2,0.01,0.48,1.14,0.22,0.16,0.0,0.0,0.19,Central
PRECTOTCORR,1991,14.5,31.875,0.0,0.0,0.0,0.03,0.18,0.01,0.5,1.19,0.23,0.15,0.0,0.0,0.19,Central
PRECTOTCORR,1991,14.5,32.5,0.0,0.0,0.0,0.04,0.39,0.04,0.91,1.9,0.33,0.18,0.0,0.0,0.32,Central
PRECTOTCORR,1991,14.5,33.125,0.0,0.0,0.0,0.08,0.43,0.05,1.03,2.09,0.37,0.25,0.0,0.0,0.36,Central
PRECTOTCORR,1991,14.5,33.75,0.0,0.0,0.0,0.11,0.75,0.18,1.49,2.84,0.47,0.27,0.0,0.0,0.52,Central
PRECTOTCORR,1991,15.0,31.25,0.0,0.0,0.0,0.02,0.16,0.0,0.41,0.63,0.11,0.07,0.01,0.0,0.12,Central
PRECTOTCORR,1991,15.0,31.875,0.0,0.0,0.0,0.02,0.08,0.0,0.45,0.64,0.14,0.04,0.01,0.0,0.12,Central
PRECTOTCORR,1991,15.0,32.5,0.0,0.0,0.0,0.05,0.12,0.0,0.79,1.27,0.27,0.33,0.0,0.0,0.24,Central
PRECTOTCORR,1991,15.0,33.125,0.0,0.0,0.0,0.05,0.18,0.01,0.92,1.5,0.31,0.4,0.0,0.0,0.29,Central
PRECTOTCORR,1991,15.0,33.75,0.0,0.0,0.0,0.05,0.29,0.02,1.03,1.87,0.36,0.75,0.0,0.0,0.37,Central
PRECTOTCORR,1991,15.5,31.25,0.0,0.0,0.0,0.01,0.06,0.0,0.32,0.19,0.04,0.02,0.01,0.0,0.06,Central
PRECTOTCORR,1991,15.5,31.875,0.0,0.0,0.0,0.01,0.04,0.0,0.41,0.2,0.05,0.02,0.01,0.0,0.06,Central
PRECTOTCORR,1991,15.5,32.5,0.0,0.0,0.0,0.05,0.04,0.0,0.76,0.65,0.16,0.07,0.0,0.0,0.15,Central
PRECTOTCORR,1991,15.5,33.125,0.0,0.0,0.0,0.06,0.06,0.0,0.83,0.92,0.2,0.17,0.0,0.0,0.19,Central
PRECTOTCORR,1991,15.5,33.75,0.0,0.0,0.0,0.04,0.22,0.01,0.9,1.25,0.2,0.21,0.0,0.0,0.24,Central
PRECTOTCORR,1991,16.0,31.25,0.0,0.0,0.0,0.01,0.02,0.0,0.34,0.1,0.02,0.02,0.01,0.0,0.04,Central
PRECTOTCORR,1991,16.0,31.875,0.0,0.0,0.0,0.01,0.02,0.0,0.37,0.11,0.03,0.02,0.01,0.0,0.05,Central
PRECTOTCORR,1991,16.0,32.5,0.0,0.0,0.0,0.04,0.01,0.0,0.71,0.32,0.08,0.03,0.0,0.0,0.1,Central
PRECTOTCORR,1991,16.0,33.125,0.0,0.0,0.0,0.04,0.02,0.0,0.79,0.45,0.11,0.06,0.0,0.0,0.12,Central
PRECTOTCORR,1991,16.0,33.75,0.0,0.0,0.0,0.02,0.07,0.0,0.73,0.67,0.11,0.09,0.0,0.0,0.14,Central
PRECTOTCORR,1991,16.5,31.25,0.0,0.0,0.0,0.0,0.01,0.0,0.2,0.1,0.02,0.05,0.0,0.0,0.03,Central
PRECTOTCORR,1991,16.5,31.875,0.0,0.0,0.0,0.0,0.01,0.0,0.26,0.1,0.02,0.02,0.01,0.0,0.04,Central
PRECTOTCORR,1991,16.5,32.5,0.0,0.0,0.0,0.01,0.01,0.0,0.52,0.24,0.02,0.03,0.0,0.0,0.07,Central
PRECTOTCORR,1991,16.5,33.125,0.0,0.0,0.0,0.01,0.01,0.0,0.62,0.3,0.04,0.04,0.0,0.0,0.09,Central
PRECTOTCORR,1991,16.5,33.75,0.0,0.0,0.0,0.0,0.01,0.0,0.59,0.37,0.05,0.03,0.0,0.0,0.09,Central
PRECTOTCORR,1992,14.0,31.25,0.0,0.0,0.0,0.0,1.17,0.15,1.67,4.8,0.97,0.41,0.05,0.0,0.78,Central
PRECTOTCORR,1992,14.0,31.875,0.0,0.0,0.0,0.0,1.14,0.19,1.77,4.73,0.96,0.42,0.05,0.0,0.78,Central
PRECTOTCORR,1992,14.0,32.5,0.0,0.0,0.0,0.0,0.6,0.32,1.98,3.4,0.87,0.42,0.05,0.0,0.64,Central
PRECTOTCORR,1992,14.0,33.125,0.0,0.0,0.0,0.0,0.34,0.46,2.15,2.93,1.0,0.41,0.04,0.0,0.62,Central
PRECTOTCORR,1992,14.0,33.75,0.0,0.0,0.0,0.0,0.16,0.88,2.83,3.27,1.29,0.44,0.02,0.0,0.75,Central
PRECTOTCORR,1992,14.5,31.25,0.0,0.0,0.0,0.0,1.04,0.07,1.58,4.56,0.86,0.29,0.04,0.0,0.71,Central
PRECTOTCORR,1992,14.5,31.875,0.0,0.0,0.0,0.0,1.02,0.09,1.54,4.44,0.76,0.32,0.05,0.0,0.69,Central
PRECTOTCORR,1992,14.5,32.5,0.0,0.0,0.0,0.0,0.43,0.23,1.58,3.11,0.68,0.37,0.04,0.0,0.54,Central
PRECTOTCORR,1992,14.5,33.125,0.0,0.0,0.0,0.0,0.26,0.29,1.63,2.61,0.67,0.36,0.04,0.0,0.49,Central
PRECTOTCORR,1992,14.5,33.75,0.0,0.0,0.0,0.0,0.13,0.57,2.12,2.94,0.9,0.37,0.02,0.0,0.59,Central
PRECTOTCORR,1992,15.0,31.25,0.0,0.0,0.0,0.01,0.6,0.03,1.22,3.25,0.5,0.14,0.02,0.0,0.49,Central
PRECTOTCORR,1992,15.0,31.875,0.0,0.0,0.0,0.02,0.48,0.05,1.12,3.3,0.39,0.14,0.03,0.0,0.47,Central
PRECTOTCORR,1992,15.0,32.5,0.0,0.0,0.0,0.0,0.23,0.14,1.15,2.27,0.39,0.22,0.03,0.0,0.37,Central
PRECTOTCORR,1992,15.0,33.125,0.0,0.0,0.0,0.0,0.15,0.17,1.18,1.99,0.42,0.23,0.03,0.0,0.35,Central
PRECTOTCORR,1992,15.0,33.75,0.0,0.0,0.0,0.0,0.11,0.22,1.3,1.96,0.5,0.23,0.02,0.0,0.37,Central
PRECTOTCORR,1992,15.5,31.25,0.0,0.0,0.0,0.01,0.26,0.01,0.59,1.64,0.17,0.03,0.01,0.0,0.23,Central
PRECTOTCORR,1992,15.5,31.875,0.0,0.0,0.0,0.01,0.21,0.02,0.52,1.64,0.14,0.02,0.01,0.0,0.22,Central
PRECTOTCORR,1992,15.5,32.5,0.0,0.0,0.0,0.0,0.09,0.06,0.75,1.49,0.2,0.08,0.02,0.0,0.23,Central
PRECTOTCORR,1992,15.5,33.125,0.0,0.0,0.0,0.0,0.04,0.08,0.78,1.26,0.24,0.09,0.01,0.0,0.21,Central
PRECTOTCORR,1992,15.5,33.75,0.0,0.0,0.0,0.0,0.04,0.12,0.93,1.35,0.36,0.11,0.0,0.0,0.25,Central
PRECTOTCORR,1992,16.0,31.25,0.0,0.0,0.0,0.01,0.07,0.02,0.39,1.12,0.1,0.01,0.01,0.0,0.15,Central
PRECTOTCORR,1992,16.0,31.875,0.0,0.0,0.0,0.01,0.07,0.02,0.4,1.12,0.09,0.01,0.01,0.0,0.15,Central
PRECTOTCORR,1992,16.0,32.5,0.0,0.0,0.0,0.0,0.02,0.01,0.55,0.97,0.12,0.03,0.02,0.0,0.15,Central
PRECTOTCORR,1992,16.0,33.125,0.0,0.0,0.0,0.0,0.02,0.03,0.65,0.95,0.16,0.04,0.01,0.0,0.16,Central
PRECTOTCORR,1992,16.0,33.75,0.0,0.0,0.0,0.0,0.01,0.07,0.78,1.0,0.25,0.05,0.0,0.0,0.18,Central
PRECTOTCORR,1992,16.5,31.25,0.0,0.0,0.0,0.01,0.04,0.01,0.31,0.81,0.11,0.01,0.01,0.0,0.11,Central
PRECTOTCORR,1992,16.5,31.875,0.0,0.0,0.0,0.01,0.02,0.01,0.33,0.82,0.1,0.01,0.01,0.0,0.11,Central
PRECTOTCORR,1992,16.5,32.5,0.0,0.0,0.0,0.0,0.01,0.0,0.55,0.64,0.11,0.02,0.01,0.0,0.11,Central
PRECTOTCORR,1992,16.5,33.125,0.0,0.0,0.0,0.0,0.01,0.01,0.57,0.65,0.13,0.03,0.01,0.0,0.12,Central
PRECTOTCORR,1992,16.5,33.75,0.0,0.0,0.0,0.0,0.0,0.02,0.62,0.69,0.2,0.02,0.0,0.0,0.13,Central
PRECTOTCORR,1993,14.0,31.25,0.0,0.0,0.0,0.05,0.97,0.32,3.78,3.12,1.48,0.39,0.0,0.0,0.85,Central
PRECTOTCORR,1993,14.0,31.875,0.0,0.0,0.0,0.06,0.99,0.33,3.94,3.13,1.6,0.42,0.0,0.0,0.88,Central
PRECTOTCORR,1993,14.0,32.5,0.0,0.0,0.0,0.25,1.14,0.25,5.33,4.65,1.68,0.41,0.03,0.0,1.16,Central
PRECTOTCORR,1993,14.0,33.125,0.0,0.0,0.0,0.35,1.39,0.34,6.18,5.73,1.85,0.44,0.04,0.0,1.38,Central
PRECTOTCORR,1993,14.0,33.75,0.0,0.0,0.0,0.41,2.06,0.99,8.15,7.45,2.42,0.48,0.04,0.0,1.86,Central
PRECTOTCORR,1993,14.5,31.25,0.0,0.0,0.0,0.04,0.69,0.33,3.13,2.54,2.02,0.22,0.0,0.0,0.76,Central
PRECTOTCORR,1993,14.5,31.875,0.0,0.0,0.0,0.05,0.6,0.24,3.49,2.64,2.06,0.19,0.0,0.0,0.78,Central
PRECTOTCORR,1993,14.5,32.5,0.0,0.0,0.0,0.32,1.02,0.14,4.75,4.73,1.95,0.35,0.03,0.0,1.12,Central
PRECTOTCORR,1993,14.5,33.125,0.0,0.0,0.0,0.38,1.16,0.14,5.04,5.01,1.9,0.37,0.03,0.0,1.18,Central
PRECTOTCORR,1993,14.5,33.75,0.0,0.0,0.0,0.45,1.8,0.45,6.96,7.01,2.26,0.55,0.04,0.0,1.65,Central
PRECTOTCORR,1993,15.0,31.25,0.0,0.0,0.0,0.03,0.49,0.25,2.26,2.03,1.58,0.11,0.0,0.0,0.57,Central
PRECTOTCORR,1993,15.0,31.875,0.0,0.0,0.0,0.06,0.38,0.14,2.58,2.22,1.73,0.09,0.0,0.0,0.61,Central
PRECTOTCORR,1993,15.0,32.5,0.0,0.0,0.0,0.21,0.7,0.11,3.49,3.28,1.7,0.21,0.01,0.0,0.82,Central
PRECTOTCORR,1993,15.0,33.125,0.0,0.0,0.0,0.25,0.86,0.11,3.85,3.81,1.67,0.28,0.02,0.0,0.92,Central
PRECTOTCORR,1993,15.0,33.75,0.0,0.0,0.01,0.29,1.12,0.18,4.71,4.51,1.72,0.42,0.02,0.0,1.1,Central
PRECTOTCORR,1993,15.5,31.25,0.0,0.0,0.0,0.01,0.17,0.12,1.35,1.51,0.42,0.05,0.0,0.0,0.31,Central
PRECTOTCORR,1993,15.5,31.875,0.0,0.0,0.0,0.01,0.14,0.08,1.38,1.62,0.45,0.05,0.0,0.0,0.32,Central
PRECTOTCORR,1993,15.5,32.5,0.0,0.0,0.0,0.06,0.39,0.08,2.21,2.37,0.86,0.12,0.0,0.0,0.51,Central
PRECTOTCORR,1993,15.5,33.125,0.0,0.0,0.0,0.05,0.53,0.14,2.67,2.57,0.83,0.18,0.0,0.0,0.59,Central
PRECTOTCORR,1993,15.5,33.75,0.0,0.0,0.0,0.08,0.74,0.18,3.44,3.09,0.94,0.33,0.0,0.0,0.74,Central
PRECTOTCORR,1993,16.0,31.25,0.0,0.0,0.0,0.0,0.12,0.01,1.05,1.45,0.09,0.03,0.0,0.0,0.23,Central
PRECTOTCORR,1993,16.0,31.875,0.0,0.0,0.0,0.01,0.14,0.01,1.0,1.48,0.13,0.03,0.0,0.0,0.24,Central
PRECTOTCORR,1993,16.0,32.5,0.0,0.0,0.0,0.02,0.21,0.02,1.35,1.92,0.3,0.06,0.0,0.0,0.33,Central
PRECTOTCORR,1993,16.0,33.125,0.0,0.0,0.0,0.03,0.27,0.05,1.57,2.11,0.39,0.09,0.0,0.0,0.38,Central
PRECTOTCORR,1993,16.0,33.75,0.0,0.0,0.0,0.04,0.41,0.1,2.18,2.18,0.65,0.2,0.0,0.01,0.49,Central
PRECTOTCORR,1993,16.5,31.25,0.0,0.0,0.0,0.0,0.17,0.0,0.72,1.02,0.07,0.03,0.0,0.0,0.17,Central
PRECTOTCORR,1993,16.5,31.875,0.0,0.0,0.0,0.0,0.18,0.0,0.72,1.1,0.09,0.03,0.0,0.0,0.18,Central
PRECTOTCORR,1993,16.5,32.5,0.0,0.0,0.0,0.02,0.15,0.01,0.91,1.35,0.27,0.04,0.0,0.0,0.23,Central
PRECTOTCORR,1993,16.5,33.125,0.0,0.0,0.0,0.02,0.16,0.02,1.09,1.5,0.33,0.04,0.0,0.0,0.27,Central
PRECTOTCORR,1993,16.5,33.75,0.0,0.0,0.0,0.03,0.24,0.07,1.47,1.6,0.42,0.11,0.0,0.01,0.33,Central
PRECTOTCORR,1994,14.0,31.25,0.0,0.0,0.0,0.0,0.41,0.07,3.95,1.49,3.46,0.1,0.0,0.0,0.8,Central
PRECTOTCORR,1994,14.0,31.875,0.0,0.0,0.0,0.0,0.44,0.1,4.16,1.52,3.39,0.14,0.0,0.0,0.82,Central
PRECTOTCORR,1994,14.0,32.5,0.0,0.0,0.0,0.0,0.45,0.25,4.71,2.53,3.01,0.73,0.0,0.0,0.98,Central
PRECTOTCORR,1994,14.0,33.125,0.0,0.0,0.0,0.0,0.64,0.36,5.21,3.12,2.85,1.02,0.01,0.0,1.11,Central
PRECTOTCORR,1994,14.0,33.75,0.0,0.0,0.0,0.0,0.98,0.76,6.28,4.06,2.59,0.91,0.1,0.0,1.32,Central
PRECTOTCORR,1994,14.5,31.25,0.0,0.0,0.0,0.0,0.52,0.04,3.45,1.26,3.25,0.07,0.0,0.0,0.72,Central
PRECTOTCORR,1994,14.5,31.875,0.0,0.0,0.0,0.0,0.64,0.05,3.52,1.38,3.36,0.12,0.0,0.0,0.76,Central
PRECTOTCORR,1994,14.5,32.5,0.0,0.0,0.0,0.0,0.77,0.13,4.01,2.61,2.88,0.84,0.0,0.0,0.95,Central
PRECTOTCORR,1994,14.5,33.125,0.0,0.0,0.0,0.0,0.82,0.21,4.1,2.81,2.71,1.17,0.01,0.0,1.0,Central
PRECTOTCORR,1994,14.5,33.75,0.0,0.0,0.0,0.0,0.85,0.48,5.24,3.89,2.57,0.98,0.06,0.0,1.19,Central
PRECTOTCORR,1994,15.0,31.25,0.0,0.0,0.0,0.0,0.27,0.05,2.38,0.93,2.35,0.1,0.0,0.0,0.51,Central
PRECTOTCORR,1994,15.0,31.875,0.0,0.0,0.0,0.0,0.48,0.05,2.3,0.91,2.38,0.26,0.0,0.0,0.54,Central
PRECTOTCORR,1994,15.0,32.5,0.0,0.0,0.0,0.0,0.84,0.19,2.76,1.78,2.53,1.34,0.0,0.0,0.79,Central
PRECTOTCORR,1994,15.0,33.125,0.0,0.0,0.0,0.0,0.89,0.22,2.98,2.11,2.53,1.57,0.0,0.0,0.87,Central
PRECTOTCORR,1994,15.0,33.75,0.0,0.0,0.0,0.0,0.95,0.37,3.37,2.7,2.58,1.72,0.02,0.0,0.99,Central
PRECTOTCORR,1994,15.5,31.25,0.0,0.0,0.0,0.0,0.04,0.07,1.3,0.63,1.34,0.14,0.0,0.0,0.3,Central
PRECTOTCORR,1994,15.5,31.875,0.0,0.0,0.0,0.0,0.09,0.08,1.27,0.57,1.34,0.23,0.0,0.0,0.3,Central
PRECTOTCORR,1994,15.5,32.5,0.0,0.0,0.0,0.0,0.34,0.1,1.72,1.02,1.87,1.03,0.0,0.0,0.51,Central
PRECTOTCORR,1994,15.5,33.125,0.0,0.0,0.0,0.0,0.3,0.09,1.91,1.3,2.02,1.5,0.0,0.0,0.6,Central
PRECTOTCORR,1994,15.5,33.75,0.0,0.0,0.0,0.0,0.26,0.24,2.3,1.84,2.04,1.6,0.02,0.0,0.7,Central
PRECTOTCORR,1994,16.0,31.25,0.0,0.0,0.0,0.0,0.01,0.09,0.96,0.63,0.97,0.09,0.0,0.0,0.23,Central
PRECTOTCORR,1994,16.0,31.875,0.0,0.0,0.0,0.0,0.03,0.08,0.98,0.58,1.02,0.13,0.0,0.0,0.24,Central
PRECTOTCORR,1994,16.0,32.5,0.0,0.0,0.0,0.0,0.07,0.06,1.21,0.76,1.32,0.38,0.0,0.0,0.32,Central
PRECTOTCORR,1994,16.0,33.125,0.0,0.0,0.0,0.0,0.11,0.04,1.36,0.94,1.47,0.6,0.0,0.0,0.38,Central
PRECTOTCORR,1994,16.0,33.75,0.0,0.0,0.0,0.0,0.14,0.08,1.58,1.34,1.46,1.05,0.02,0.0,0.48,Central
PRECTOTCORR,1994,16.5,31.25,0.0,0.0,0.0,0.0,0.03,0.02,0.8,0.71,0.91,0.08,0.0,0.0,0.21,Central
PRECTOTCORR,1994,16.5,31.875,0.0,0.0,0.0,0.0,0.03,0.03,0.81,0.65,0.91,0.08,0.0,0.0,0.21,Central
PRECTOTCORR,1994,16.5,32.5,0.0,0.0,0.0,0.0,0.09,0.01,0.96,0.77,1.12,0.35,0.0,0.0,0.28,Central
PRECTOTCORR,1994,16.5,33.125,0.0,0.0,0.0,0.0,0.09,0.01,1.05,0.84,1.33,0.39,0.0,0.0,0.31,Central
PRECTOTCORR,1994,16.5,33.75,0.0,0.0,0.0,0.0,0.1,0.01,1.13,1.02,1.11,0.56,0.02,0.0,0.33,Central
PRECTOTCORR,1995,14.0,31.25,0.0,0.0,0.0,0.02,0.01,0.38,3.95,4.12,2.93,0.37,0.02,0.0,0.99,Central
PRECTOTCORR,1995,14.0,31.875,0.0,0.0,0.0,0.05,0.02,0.41,4.06,4.18,2.93,0.4,0.03,0.0,1.02,Central
PRECTOTCORR,1995,14.0,32.5,0.0,0.0,0.0,0.06,0.13,0.77,4.88,5.07,3.15,0.43,0.05,0.0,1.22,Central
PRECTOTCORR,1995,14.0,33.125,0.0,0.0,0.0,0.08,0.19,1.08,5.59,5.56,3.42,0.46,0.04,0.0,1.38,Central
PRECTOTCORR,1995,14.0,33.75,0.0,0.01,0.0,0.27,0.26,1.85,6.57,6.6,3.79,0.49,0.03,0.0,1.67,Central
PRECTOTCORR,1995,14.5,31.25,0.0,0.0,0.0,0.01,0.01,0.18,3.88,3.46,2.49,0.37,0.0,0.0,0.88,Central
PRECTOTCORR,1995,14.5,31.875,0.0,0.0,0.0,0.01,0.01,0.21,3.86,3.65,2.49,0.38,0.01,0.0,0.89,Central
PRECTOTCORR,1995,14.5,32.5,0.0,0.0,0.0,0.03,0.13,0.69,4.68,4.67,3.07,0.36,0.02,0.0,1.15,Central
PRECTOTCORR,1995,14.5,33.125,0.0,0.0,0.0,0.04,0.17,0.79,4.87,4.74,3.14,0.34,0.02,0.0,1.19,Central
PRECTOTCORR,1995,14.5,33.75,0.0,0.01,0.0,0.2,0.26,1.46,5.9,6.26,3.65,0.41,0.02,0.0,1.53,Central
PRECTOTCORR,1995,15.0,31.25,0.0,0.0,0.0,0.0,0.01,0.13,3.12,2.49,1.68,0.25,0.0,0.0,0.65,Central
PRECTOTCORR,1995,15.0,31.875,0.0,0.0,0.0,0.0,0.02,0.12,3.32,2.59,1.73,0.28,0.0,0.0,0.68,Central
PRECTOTCORR,1995,15.0,32.5,0.0,0.0,0.0,0.02,0.12,0.29,3.8,3.13,2.43,0.2,0.01,0.0,0.84,Central
PRECTOTCORR,1995,15.0,33.125,0.0,0.0,0.0,0.04,0.15,0.4,4.0,3.41,2.68,0.2,0.01,0.0,0.92,Central
PRECTOTCORR,1995,15.0,33.75,0.0,0.0,0.0,0.16,0.21,0.56,4.24,4.0,3.13,0.2,0.01,0.0,1.05,Central
PRECTOTCORR,1995,15.5,31.25,0.0,0.0,0.0,0.02,0.01,0.1,2.05,1.44,0.66,0.06,0.0,0.0,0.37,Central
PRECTOTCORR,1995,15.5,31.875,0.0,0.0,0.0,0.02,0.01,0.13,2.12,1.42,0.75,0.07,0.0,0.0,0.38,Central
PRECTOTCORR,1995,15.5,32.5,0.0,0.0,0.0,0.0,0.05,0.15,2.77,1.88,1.59,0.1,0.0,0.0,0.55,Central
PRECTOTCORR,1995,15.5,33.125,0.0,0.0,0.0,0.0,0.08,0.15,2.9,2.18,2.09,0.08,0.0,0.0,0.63,Central
PRECTOTCORR,1995,15.5,33.75,0.0,0.0,0.0,0.08,0.11,0.27,3.31,2.9,2.41,0.08,0.0,0.0,0.77,Central
PRECTOTCORR,1995,16.0,31.25,0.0,0.0,0.0,0.09,0.01,0.07,1.64,0.95,0.2,0.03,0.0,0.0,0.25,Central
PRECTOTCORR,1995,16.0,31.875,0.0,0.0,0.0,0.13,0.01,0.08,1.71,0.98,0.29,0.03,0.0,0.0,0.27,Central
PRECTOTCORR,1995,16.0,32.5,0.0,0.0,0.0,0.02,0.02,0.17,1.92,1.17,0.74,0.05,0.01,0.0,0.35,Central
PRECTOTCORR,1995,16.0,33.125,0.0,0.0,0.0,0.0,0.03,0.17,2.09,1.37,0.97,0.05,0.01,0.0,0.4,Central
PRECTOTCORR,1995,16.0,33.75,0.0,0.0,0.0,0.0,0.06,0.11,2.46,1.94,1.3,0.02,0.0,0.0,0.5,Central
PRECTOTCORR,1995,16.5,31.25,0.0,0.0,0.0,0.14,0.01,0.02,1.65,0.8,0.12,0.02,0.0,0.0,0.23,Central
PRECTOTCORR,1995,16.5,31.875,0.0,0.0,0.0,0.15,0.01,0.04,1.61,0.8,0.15,0.02,0.0,0.0,0.24,Central
PRECTOTCORR,1995,16.5,32.5,0.0,0.0,0.0,0.06,0.01,0.05,1.63,1.03,0.28,0.02,0.02,0.0,0.26,Central
PRECTOTCORR,1995,16.5,33.125,0.0,0.0,0.0,0.0,0.02,0.06,1.72,1.13,0.43,0.02,0.04,0.0,0.29,Central
PRECTOTCORR,1995,16.5,33.75,0.0,0.0,0.0,0.0,0.03,0.05,1.87,1.35,0.43,0.0,0.0,0.0,0.32,Central
PRECTOTCORR,1996,14.0,31.25,0.0,0.0,0.0,0.2,0.31,0.45,3.13,4.31,2.79,0.48,0.0,0.0,0.98,Central
PRECTOTCORR,1996,14.0,31.875,0.0,0.0,0.0,0.23,0.37,0.5,3.21,4.4,2.77,0.49,0.0,0.0,1.0,Central
